BA (mM)	-	-	0.125	0.25	0.5
LPS (1μg/mL)	-	+	+	+	+
IL-6	0.07996252	1.9200126	1.2511246	0.5685548	0.494065
	0.11188672	1.8455228	1.132549	0.691691	0.554873
	0.06871304	2.10334872	1.21524788	0.53875888	0.5107872
	0.0653686	2.03889224	1.02370268	0.55608916	0.4575802
TNF-α	0.07524465	8.58334043	8.37494337	6.62725309	4.37494337
	0.06852066	8.4434174	7.82961317	6.0826099	4.82961317
	0.0832494	8.35554545	8.38244141	7.57140014	4.15473833
	0.06414473	8.20894506	8.23067135	6.60794843	4.67764856
