	BA (mM)	-	-	0.125	0.25	0.5
	LPS (1 μg/mL)	-	+	+	+	+
	p-p38/p38	0.765378837	1.467996449	1.042958526	0.994473904	0.886524549
		1.553083093	1.82353446	1.297364759	1.673774485	1.340959967
		0.68153807	1.773255997	2.129278703	0.840405559	0.725336036
	p-ERK1/2/ERK1/2	1.180590875	1.829361193	1.658365284	1.807293286	1.445254305
		0.662600044	3.153765122	2.030187162	2.369365853	0.788936557
		1.156809088	4.587476414	5.527041461	3.270100727	1.630199862
	p-JNK/JNK	0.953439832	1.715004454	1.528550824	1.537528868	1.345706542
		1.012599514	2.087106915	1.688870968	1.947457008	1.437434725
		1.033960656	1.23113753	1.074529861	1.114856419	1.01347319
						
						
						
		Control	Control+BA	ACLF	ACLF+BA	
	p-p38/p38	1.170525107	0.910474861	2.299832672	1.362372225	
		0.919111659	1.017944824	2.287291755	1.427955739	
		0.910363233	0.826401253	2.511388294	1.392430404	
	p-ERK1/2/ERK1/2	0.979345306	1.006247243	1.92718376	0.891988875	
		1.099782236	0.859177132	1.793492171	1.039108648	
		0.920872459	0.831550388	2.208910238	1.078040561	
	p-JNK/JNK	1.01902997	1.235344152	1.837795919	1.167276853	
		0.977579643	1.252255806	1.685168132	1.020302862	
		1.003390387	1.209205827	2.146860241	1.145523307	
